Date ,OPEN ,HIGH ,LOW ,close ,VOLUME 
27/03/2023,1386.25,1395.75,1374.1,1388.95,4170193
28/03/2023,1392.1,1398,1375.85,1377.6,6633366
29/03/2023,1379,1389.9,1364.55,1383.55,8813966
31/03/2023,1404,1429.95,1393.9,1427.95,8711975
03/04/2023,1435,1435,1405.15,1410.85,5242764
05/04/2023,1400,1427.5,1400,1423.55,7506334
06/04/2023,1416,1428.4,1410.35,1421.9,6948465
10/04/2023,1423.95,1434,1415,1427.6,4993788
11/04/2023,1428.9,1433.35,1389,1406.15,6942255
12/04/2023,1413.05,1431.5,1400,1428.3,5831169
13/04/2023,1409.75,1411.05,1383,1389.2,11267238
17/04/2023,1250.3,1261.15,1185.3,1258.3,53171705
18/04/2023,1269.95,1269.95,1253.1,1259.35,12430884
19/04/2023,1254.35,1254.35,1229.4,1232.2,11307230
20/04/2023,1230.7,1237.85,1221.4,1223.4,8621249
21/04/2023,1228.1,1233.25,1220,1227.35,8691352
24/04/2023,1228,1230,1218,1226.3,8313774
25/04/2023,1225.95,1235.5,1215,1224.9,6808576
26/04/2023,1228,1233,1220.55,1227.55,5680192
27/04/2023,1230,1247.8,1225.4,1246.25,8020704
28/04/2023,1255.7,1259,1244.95,1252.75,10118277
02/05/2023,1254.55,1279.75,1254.55,1277.45,8886401
03/05/2023,1266,1272.5,1262.1,1269.15,5549783
04/05/2023,1268.95,1275.8,1262.5,1273.55,4505401
05/05/2023,1279,1279,1254.25,1259.1,5373791
08/05/2023,1262.45,1270.3,1255.2,1265.6,5260842
09/05/2023,1266,1272,1260.7,1270.7,4969897
10/05/2023,1276.4,1276.4,1259.15,1263.25,6515734
11/05/2023,1270.25,1275.9,1253.05,1256.1,6888461
12/05/2023,1253.35,1256,1239.05,1245.2,8292212
15/05/2023,1249.9,1268.9,1245.65,1258.35,5534710
16/05/2023,1265,1273.95,1262.75,1264.3,5236469
17/05/2023,1260.6,1260.95,1242.45,1246.9,10465667
18/05/2023,1258.6,1259.65,1242.45,1246,6948732
19/05/2023,1256.05,1273.3,1252.8,1268.9,11094136
22/05/2023,1272.95,1295.6,1270.25,1292.8,7625947
23/05/2023,1299.2,1314.15,1297.05,1300.05,7436031
24/05/2023,1296.3,1305,1291.3,1298.65,4824077
25/05/2023,1294.5,1307,1289.25,1304.35,4334121
26/05/2023,1306,1323.45,1306,1317.45,5521606
29/05/2023,1332.7,1332.7,1309.85,1314.4,4419365
30/05/2023,1315,1326.4,1309.15,1323.85,6274719
31/05/2023,1319.85,1331.1,1314.15,1318.3,17800782
01/06/2023,1322.55,1329.5,1318.1,1319.5,4277841
02/06/2023,1309,1312.9,1296.05,1299,10909311
05/06/2023,1304,1309.45,1297.3,1304.5,5002553
06/06/2023,1288.6,1288.6,1273,1279,10008100
07/06/2023,1290.5,1294,1282.5,1288.95,5397578
08/06/2023,1286.2,1292,1281.1,1282.8,5034942
09/06/2023,1282.5,1282.5,1264,1265.95,5339073
12/06/2023,1273.5,1295.7,1273,1291.95,4785588
13/06/2023,1299.9,1306.5,1297.05,1304.85,4846587
14/06/2023,1306.35,1306.7,1293.2,1300.4,3457981
15/06/2023,1293.95,1293.95,1282.65,1286.8,6161155
16/06/2023,1287,1301.5,1281.05,1291.65,8536287
19/06/2023,1294,1299.5,1287.05,1294,4451787
20/06/2023,1294,1305,1291.1,1303.4,4009180
21/06/2023,1299.95,1303.8,1295,1299.35,4041529
22/06/2023,1289.4,1289.4,1273.5,1281.55,6676607
23/06/2023,1276.45,1279.35,1263.35,1265,7239467
26/06/2023,1270.25,1274,1262.25,1270.35,3403244
27/06/2023,1280,1282,1274.2,1279.15,3240024
28/06/2023,1290,1296.7,1281.4,1293.35,5662358
30/06/2023,1308.2,1338.9,1304.45,1335.5,12821692
03/07/2023,1330,1346,1328.45,1333.7,7732412
04/07/2023,1344.3,1346,1331.4,1345.15,5797775
05/07/2023,1357.85,1357.95,1341,1347.3,5414936
06/07/2023,1342.55,1347.45,1337.15,1343.9,5963897
07/07/2023,1334,1345.8,1325.35,1330.2,6295647
10/07/2023,1336.55,1341.9,1319.3,1329.15,3940315
11/07/2023,1333.45,1350.9,1327,1348.6,6126128
12/07/2023,1351,1351.9,1327,1333.3,8102770
13/07/2023,1334.9,1376.8,1330.85,1365.1,9977644
14/07/2023,1380.65,1430,1380.65,1425.95,12833381
17/07/2023,1425.95,1458.95,1414.3,1422.95,11569884
18/07/2023,1434,1477.95,1429,1475.2,16743977
19/07/2023,1486,1498.8,1460.7,1474.95,13687062
20/07/2023,1471,1471,1440.7,1449.5,8347221
21/07/2023,1320.2,1350,1305,1331.6,45548305
24/07/2023,1341,1349.9,1334.25,1336.6,8859789
25/07/2023,1337,1342.85,1324.25,1334.6,6801982
26/07/2023,1343,1350,1339.4,1348.85,5528885
27/07/2023,1358.6,1363.8,1347.05,1353.15,9191861
28/07/2023,1353.85,1363.85,1336,1340.5,6122735
31/07/2023,1348.75,1357.5,1333.25,1355.7,7902180
01/08/2023,1362,1369,1357,1365.2,6064652
02/08/2023,1369.3,1371.95,1348.45,1356.85,7419145
03/08/2023,1350,1366.55,1349,1364.3,6503741
04/08/2023,1368.9,1385.9,1362,1378.35,5712345
07/08/2023,1387.9,1395,1377,1393,3729093
08/08/2023,1392.85,1393.55,1384.4,1390.2,4161877
09/08/2023,1384,1396,1382.5,1394.4,4090828
10/08/2023,1391.6,1395.8,1385.6,1389.1,3873025
11/08/2023,1392,1396.85,1367.05,1371.85,5783517
14/08/2023,1371.85,1395,1365.6,1393.55,4304135
16/08/2023,1410.8,1419.95,1405.4,1418.5,7735313
17/08/2023,1420,1420,1406,1411.55,5618346
18/08/2023,1403.7,1408.7,1386.15,1388.8,5134103
21/08/2023,1389.75,1407,1387.15,1405.4,3032722
22/08/2023,1404.7,1406.05,1396.65,1403.75,2890714
23/08/2023,1416,1416.6,1405.65,1407.95,2559125
24/08/2023,1421.5,1425.05,1414.45,1423.6,5171963
25/08/2023,1413,1422.5,1411.4,1420.1,4307172
28/08/2023,1420.1,1424.8,1411.4,1415.65,3133464
29/08/2023,1424,1424.4,1415.3,1417.65,3074444
30/08/2023,1427,1436.65,1424,1435.15,3070887
31/08/2023,1435.15,1444.9,1428.65,1435.45,9792735
01/09/2023,1430.95,1446,1428.2,1443.85,3582133
04/09/2023,1443,1470,1434.7,1465.1,4609014
05/09/2023,1465,1480.05,1456.5,1478.9,5496840
06/09/2023,1481.9,1482.9,1463.3,1477.45,5075786
07/09/2023,1470.6,1473.4,1462.05,1466.2,4411743
08/09/2023,1463.5,1474.75,1460.2,1469.6,3125838
11/09/2023,1469.6,1478.05,1464.5,1476.45,4182226
12/09/2023,1482.5,1504,1477.1,1501.1,6793161
13/09/2023,1505,1505,1488.65,1498.35,4804686
14/09/2023,1505,1512.55,1499.15,1506.95,6444213
15/09/2023,1518,1518.4,1509,1511.6,8657816
18/09/2023,1504.9,1504.9,1488,1491.8,3991916
20/09/2023,1476.2,1495.1,1476.2,1490.25,4169337
21/09/2023,1486.55,1504.55,1476,1501.75,6779195
22/09/2023,1491.9,1506.95,1485.2,1496.15,5455613
25/09/2023,1489.85,1489.85,1471.55,1474.15,4217863
26/09/2023,1479.15,1479.9,1459,1460.65,3996528
27/09/2023,1456,1469.6,1450.05,1467,3863586
28/09/2023,1467.9,1472.6,1435,1439.45,5814602
29/09/2023,1432.1,1446.8,1416,1435.45,6068968
03/10/2023,1436.05,1437,1420.3,1434,4181867
04/10/2023,1425,1449.95,1418.2,1444.35,4510406
05/10/2023,1452,1475.65,1450.2,1463.45,7384621
06/10/2023,1469.5,1484.5,1463.3,1478.7,3598672
09/10/2023,1464.9,1491,1462.2,1475.45,3567552
